Model,Version,Info,Firmware
Yealink T20P,9.73.0.60,Yealink T20P FW: Added support for Lets Encrypt,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/yealink/T20-9.73.0.60.rom
Yealink T21P E2,52.84.0.140,Yealink T21P E2 FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/yealink/T21P_E2-52.84.0.140.rom
Yealink T21 E2,52.84.0.140,Yealink T21 E2 FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/yealink/T21P_E2-52.84.0.140.rom
Yealink T21P,34.72.0.93,Yealink T21P FW,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/yealink/T21-34.72.0.93.rom
Yealink T22P,7.73.0.60,Yealink T22P FW: Added support for Lets Encrypt,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/yealink/T22-7.73.0.60.rom
Yealink T23P,44.84.0.140,Yealink T23P FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/yealink/T23-44.84.0.140.rom
Yealink T23G,44.84.0.140,Yealink T23G FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/yealink/T23-44.84.0.140.rom
Yealink T26P,6.73.0.60,Yealink T26P FW: Added support for Lets Encrypt,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/yealink/T26-6.73.0.60.rom
Yealink T27P,45.83.0.130,Yealink T27P FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/yealink/T27-45.83.0.130.rom
Yealink T27G,69.86.0.5,Yealink T27G FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/yealink/T27G-69.86.0.5.rom
Yealink T28P,2.73.0.60,Yealink T28P FW: Added support for Lets Encrypt,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/yealink/T28-2.73.0.60.rom
Yealink T29G,46.83.0.136,Yealink T29G FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/yealink/T29-46.83.0.136.rom
Yealink T30P,124.87.0.15,Yealink T30P FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/yealink/T3X-124.87.0.15.rom
Yealink T31P,124.87.0.15,Yealink T31P FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/yealink/T3X-124.87.0.15.rom
Yealink T31G,124.87.0.15,Yealink T31G FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/yealink/T3X-124.87.0.15.rom
